Group,HydraulicDiameter,vdensity,VesselFraction,Kmax
Parasite,23.4057338474876,183.031856345502,5.96711111111111,1.07570156468029
Host,38.4462059216445,152.997021401834,11.8283888888889,7.28389475300647
Psittacanthus robustus,30.3529724217006,70.4710540021258,4.668,1.44945638934935
Vochysia thyrsoidea,41.5580663457989,67.0352955244166,7.60883333333333,4.82442971567828
Phoradendron perrotettii,21.5980386252708,183.401958923986,6.15483333333333,0.979271949192042
Tapirira guianensis,30.321198167745,266.357815567544,14.1443333333333,5.11550895185362
Struthanthus rhynchophyllus,18.2661904954915,295.222556110394,7.0785,0.798376355499478
Tipuana tipu,43.4593532513895,125.597953113541,13.732,11.9117455914875
Viscum album,,,,
Populus nigra,,,,
