"","Group","Lower","Estimate","Upper"
"1","Parasite",1.85542806494703,2.01926577328659,2.18310348162616
"2","Host",1.90179474176047,2.36499195200862,2.82818916225677
"3","Psittacanthus robustus",1.89971490191632,2.08905277777778,2.27839065363923
"4","Vochysia thyrsoidea",NA,2.38271833333333,NA
"5","Phoradendron perrotettii",1.76960377529797,1.95266555555555,2.13572733581314
"6","Tapirira guianensis",NA,2.0192346546948,NA
"7","Struthanthus rhynchophyllus",1.9225922490691,2.07122232543553,2.21985240180197
"8","Tipuana tipu",NA,2.43703444444444,NA
"9","Viscum album",1.77049312156345,1.96894833333333,2.16740354510321
"10","Populus nigra",NA,2.84985,NA
